"Date","HomeTeam","AwayTeam","FTR","B365H","B365D","B365A"
2015-01-10,"Sassuolo","Udinese","D",2.05,3.2,4
2015-01-10,"Torino","Milan","D",2.63,3.2,2.7
2015-01-11,"Atalanta","Chievo","D",2.05,3.2,4
2015-01-11,"Cagliari","Cesena","H",1.67,3.75,5.5
2015-01-11,"Fiorentina","Palermo","H",1.73,3.75,4.75
2015-01-11,"Inter","Genoa","H",1.62,3.8,6
2015-01-11,"Napoli","Juventus","A",2.9,3.25,2.5
2015-01-11,"Roma","Lazio","D",2.1,3.3,3.75
2015-01-11,"Sampdoria","Empoli","H",1.85,3.4,4.75
2015-01-11,"Verona","Parma","H",2.38,3.25,3.1
2015-01-17,"Empoli","Inter","D",3.5,3.25,2.2
2015-01-17,"Palermo","Roma","D",3.6,3.3,2.15
2015-01-18,"Cesena","Torino","A",4.75,3.3,1.85
2015-01-18,"Chievo","Fiorentina","A",4,3.3,2
2015-01-18,"Genoa","Sassuolo","D",2.3,3.2,3.3
2015-01-18,"Juventus","Verona","H",1.18,7,17
2015-01-18,"Lazio","Napoli","A",2.5,3.2,3
2015-01-18,"Milan","Atalanta","A",1.53,4,7
2015-01-18,"Parma","Sampdoria","A",2.6,3.1,2.88
2015-01-18,"Udinese","Cagliari","D",2.2,3.3,3.4
2015-01-24,"Cagliari","Sassuolo","H",2.3,3.25,3.25
2015-01-24,"Lazio","Milan","H",1.85,3.4,4.33
2015-01-25,"Fiorentina","Roma","D",2.4,3.2,3.1
2015-01-25,"Inter","Torino","A",1.8,3.5,4.75
2015-01-25,"Juventus","Chievo","H",1.17,7,19
2015-01-25,"Parma","Cesena","A",1.62,3.6,6.5
2015-01-25,"Sampdoria","Palermo","D",2,3.3,4
2015-01-25,"Verona","Atalanta","H",2.5,3.2,3
2015-01-26,"Empoli","Udinese","A",2,3.3,3.8
2015-01-26,"Napoli","Genoa","H",1.4,5,7.5
2015-01-31,"Genoa","Fiorentina","D",3.4,3.4,2.15
2015-01-31,"Roma","Empoli","D",1.44,4.2,8.5
2015-02-01,"Atalanta","Cagliari","H",2.2,3.2,3.5
2015-02-01,"Cesena","Lazio","H",7.5,3.8,1.53
2015-02-01,"Chievo","Napoli","A",5.25,3.6,1.73
2015-02-01,"Milan","Parma","H",1.53,4,7
2015-02-01,"Palermo","Verona","H",1.8,3.5,4.75
2015-02-01,"Sassuolo","Inter","H",3.1,3.3,2.38
2015-02-01,"Torino","Sampdoria","H",2.05,3.1,4.2
2015-02-01,"Udinese","Juventus","D",8,4.33,1.44
2015-02-07,"Juventus","Milan","H",1.33,5,10
2015-02-07,"Verona","Torino","A",3.1,3.1,2.5
2015-02-08,"Cagliari","Roma","A",4,3.4,2
2015-02-08,"Empoli","Cesena","H",1.53,4,7
2015-02-08,"Fiorentina","Atalanta","H",1.5,4.2,7
2015-02-08,"Inter","Palermo","H",1.8,3.5,4.75
2015-02-08,"Napoli","Udinese","H",1.36,5,8.5
2015-02-08,"Sampdoria","Sassuolo","D",1.8,3.5,4.75
2015-02-09,"Lazio","Genoa","A",1.57,4,6
2015-02-11,"Parma","Chievo","A",2.6,3.1,2.9
2015-02-14,"Palermo","Napoli","H",4,3.3,2
2015-02-14,"Sassuolo","Fiorentina","A",3.3,3.3,2.25
2015-02-15,"Atalanta","Inter","A",3.4,3.25,2.25
2015-02-15,"Cesena","Juventus","D",15,6,1.22
2015-02-15,"Chievo","Sampdoria","H",2.63,3.1,2.75
2015-02-15,"Genoa","Verona","H",1.85,3.6,4.33
2015-02-15,"Milan","Empoli","D",1.75,3.6,5
2015-02-15,"Roma","Parma","D",1.29,5.5,11
2015-02-15,"Torino","Cagliari","D",1.73,3.6,5
2015-02-15,"Udinese","Lazio","A",3.1,3.25,2.38
2015-02-20,"Juventus","Atalanta","H",1.17,7,19
2015-02-22,"Empoli","Chievo","H",2,3.2,4.2
2015-02-22,"Lazio","Palermo","H",1.6,3.8,6
2015-02-22,"Milan","Cesena","H",1.44,4.33,8
2015-02-22,"Verona","Roma","D",5,3.6,1.75
2015-02-22,"Fiorentina","Torino","D",1.75,3.6,5
2015-02-23,"Cagliari","Inter","A",3.3,3.25,2.3
2015-02-23,"Napoli","Sassuolo","H",1.5,4,7.5
2015-02-24,"Sampdoria","Genoa","D",2.38,3.2,3.2
2015-02-28,"Chievo","Milan","D",3,3.1,2.5
2015-03-01,"Atalanta","Sampdoria","A",2.5,3.1,3
2015-03-01,"Cagliari","Verona","A",1.95,3.5,4
2015-03-01,"Cesena","Udinese","H",3,3.1,2.5
2015-03-01,"Inter","Fiorentina","A",2.15,3.4,3.4
2015-03-01,"Palermo","Empoli","D",2.3,3.1,3.3
2015-03-01,"Sassuolo","Lazio","A",3.25,3.25,2.2
2015-03-01,"Torino","Napoli","H",3.2,3.3,2.3
2015-03-02,"Roma","Juventus","D",3.3,3.3,2.25
2015-03-07,"Milan","Verona","D",1.55,4,6.5
2015-03-07,"Sampdoria","Cagliari","H",1.85,3.5,4.5
2015-03-08,"Cesena","Palermo","D",3.4,3.25,2.25
2015-03-08,"Chievo","Roma","D",4.75,3.4,1.85
2015-03-08,"Empoli","Genoa","D",2.15,3.3,3.6
2015-03-08,"Napoli","Inter","D",1.95,3.5,4
2015-03-08,"Parma","Atalanta","D",3.75,3.2,2.15
2015-03-08,"Udinese","Torino","H",2.6,3,2.88
2015-03-09,"Juventus","Sassuolo","H",1.2,6.5,15
2015-03-09,"Lazio","Fiorentina","H",2,3.3,4
2015-03-14,"Cagliari","Empoli","D",2.4,3.3,3
2015-03-14,"Palermo","Juventus","A",4.75,3.4,1.8
2015-03-15,"Atalanta","Udinese","D",2.4,3.1,3.2
2015-03-15,"Genoa","Chievo","A",1.91,3.4,4.33
2015-03-15,"Inter","Cesena","D",1.36,4.75,9.5
2015-03-15,"Sassuolo","Parma","H",1.62,3.75,6.25
2015-03-15,"Verona","Napoli","H",4.5,3.5,1.85
2015-03-16,"Fiorentina","Milan","H",1.91,3.5,4.2
2015-03-16,"Roma","Sampdoria","A",1.65,3.6,6
2015-03-16,"Torino","Lazio","A",3.1,3.1,2.5
2015-03-21,"Chievo","Palermo","H",2.5,3.1,3
2015-03-21,"Milan","Cagliari","H",1.8,3.75,4.33
2015-03-22,"Cesena","Roma","A",5.25,3.75,1.67
2015-03-22,"Empoli","Sassuolo","H",2,3.3,4
2015-03-22,"Juventus","Genoa","H",1.33,5,10
2015-03-22,"Lazio","Verona","H",1.4,4.5,9
2015-03-22,"Napoli","Atalanta","D",1.44,4.5,7.5
2015-03-22,"Parma","Torino","A",4.33,3.4,1.91
2015-03-22,"Sampdoria","Inter","H",2.63,3.25,2.75
2015-03-22,"Udinese","Fiorentina","D",3.3,3.3,2.25
2015-04-04,"Atalanta","Torino","A",2.8,3.1,2.7
2015-04-04,"Cagliari","Lazio","A",4.5,3.6,1.83
2015-04-04,"Fiorentina","Sampdoria","H",1.73,3.6,5.25
2015-04-04,"Genoa","Udinese","D",1.95,3.4,4.2
2015-04-04,"Inter","Parma","D",1.2,6.5,15
2015-04-04,"Juventus","Empoli","H",1.36,5,8.5
2015-04-04,"Palermo","Milan","A",2.5,3.2,3
2015-04-04,"Roma","Napoli","H",2.2,3.3,3.4
2015-04-04,"Sassuolo","Chievo","H",2.15,3.1,3.75
2015-04-04,"Verona","Cesena","D",1.91,3.5,4.2
2015-04-08,"Parma","Udinese","H",4,3.2,2.05
2015-04-11,"Genoa","Cagliari","H",1.91,3.4,4
2015-04-11,"Parma","Juventus","H",9,5,1.33
2015-04-11,"Verona","Inter","A",3.4,3.3,2.2
2015-04-12,"Atalanta","Sassuolo","H",2.1,3.2,3.6
2015-04-12,"Cesena","Chievo","A",2.63,3,2.8
2015-04-12,"Lazio","Empoli","H",1.45,4.2,7.5
2015-04-12,"Milan","Sampdoria","D",1.91,3.3,4.2
2015-04-12,"Napoli","Fiorentina","H",2,3.4,3.75
2015-04-12,"Torino","Roma","D",2.75,3.2,2.6
2015-04-12,"Udinese","Palermo","A",2.25,3.1,3.4
2015-04-15,"Genoa","Parma","H",1.62,3.8,6
2015-04-18,"Juventus","Lazio","H",1.95,3.4,4.33
2015-04-18,"Sampdoria","Cesena","D",1.57,3.8,6.5
2015-04-19,"Cagliari","Napoli","A",3.8,3.6,1.95
2015-04-19,"Chievo","Udinese","D",2.25,3.1,3.6
2015-04-19,"Empoli","Parma","D",1.53,3.8,6.5
2015-04-19,"Inter","Milan","D",2.25,3.3,3.3
2015-04-19,"Palermo","Genoa","H",2.2,3.25,3.5
2015-04-19,"Roma","Atalanta","D",1.44,4.5,7.5
2015-04-19,"Sassuolo","Torino","D",3.2,3.2,2.38
2015-04-20,"Fiorentina","Verona","A",1.44,4.5,7.5
2015-04-25,"Inter","Roma","H",2.4,3.25,3.1
2015-04-25,"Udinese","Milan","H",3.1,3.25,2.38
2015-04-26,"Atalanta","Empoli","D",2.5,3,3.2
2015-04-26,"Fiorentina","Cagliari","A",1.44,4.75,7.5
2015-04-26,"Genoa","Cesena","H",1.57,4,6
2015-04-26,"Lazio","Chievo","D",1.4,4.75,8
2015-04-26,"Napoli","Sampdoria","H",1.5,4.2,7
2015-04-26,"Parma","Palermo","H",3.3,3.3,2.25
2015-04-26,"Torino","Juventus","H",4.33,3.25,1.95
2015-04-26,"Verona","Sassuolo","H",2.2,3.3,3.4
2015-04-28,"Udinese","Inter","A",3.3,3.3,2.25
2015-04-29,"Cesena","Atalanta","D",2.88,3.1,2.63
2015-04-29,"Chievo","Cagliari","H",2.1,3.5,3.5
2015-04-29,"Juventus","Fiorentina","H",1.67,3.75,5.5
2015-04-29,"Lazio","Parma","H",1.25,5.5,15
2015-04-29,"Milan","Genoa","A",1.95,3.6,3.8
2015-04-29,"Palermo","Torino","D",2.6,3.2,2.8
2015-04-29,"Sampdoria","Verona","D",1.67,3.75,5.5
2015-04-29,"Sassuolo","Roma","A",4.33,3.75,1.8
2015-04-30,"Empoli","Napoli","H",4.5,3.6,1.8
2015-05-02,"Sampdoria","Juventus","A",3,3.3,2.4
2015-05-02,"Sassuolo","Palermo","D",2.7,3.25,2.7
2015-05-03,"Atalanta","Lazio","D",5,3.75,1.73
2015-05-03,"Fiorentina","Cesena","H",1.36,5,8.5
2015-05-03,"Inter","Chievo","D",1.4,4.75,8
2015-05-03,"Napoli","Milan","H",1.5,4.33,6.5
2015-05-03,"Roma","Genoa","H",1.57,4,6
2015-05-03,"Verona","Udinese","A",2.1,3.6,3.4
2015-05-04,"Cagliari","Parma","H",1.67,3.8,5.25
2015-05-06,"Torino","Empoli","A",1.83,3.5,4.5
2015-05-09,"Juventus","Cagliari","D",1.53,4.1,6.5
2015-05-09,"Milan","Roma","H",3.8,3.5,2
2015-05-10,"Cesena","Sassuolo","A",2.55,3.4,2.75
2015-05-10,"Chievo","Verona","D",2.25,3.3,3.3
2015-05-10,"Empoli","Fiorentina","A",2.63,3.3,2.63
2015-05-10,"Lazio","Inter","A",1.8,3.75,4.33
2015-05-10,"Palermo","Atalanta","A",2.15,3.4,3.5
2015-05-10,"Parma","Napoli","D",9,5.25,1.33
2015-05-10,"Udinese","Sampdoria","A",2.6,3.2,2.75
2015-05-11,"Genoa","Torino","H",2.4,3.3,3
2015-05-16,"Inter","Juventus","A",2.25,3.3,3.3
